rank,batch,cmap name,dose,cell,score,up,down,instance_id
49,767,genistein,10 ?M,MCF7,0.842,0.272,-0.719,6952
50,672,nadolol,13 ?M,MCF7,0.842,0.24,-0.751,3359
51,690,fluticasone,8 ?M,MCF7,0.841,0.177,-0.813,4129
52,687,tolbutamide,15 ?M,MCF7,0.84,0.365,-0.625,3886
53,680,nitrofurantoin,17 ?M,PC3,0.839,0.176,-0.812,3674
54,751,finasteride,11 ?M,MCF7,0.837,0.233,-0.752,6062
55,726,clenbuterol,13 ?M,MCF7,0.837,0.363,-0.622,5266
56,757,sirolimus,100 nM,MCF7,0.833,0.362,-0.619,5602
57,767,rosiglitazone,10 ?M,MCF7,0.833,0.202,-0.779,6950
58,685,gossypol,8 ?M,MCF7,0.833,0.218,-0.763,3637
59,680,ofloxacin,11 ?M,PC3,0.832,0.129,-0.851,3673
60,632,ticlopidine,13 ?M,MCF7,0.831,0.364,-0.615,1475
61,633,verapamil,8 ?M,MCF7,0.831,0.237,-0.742,1509
62,690,trihexyphenidyl,12 ?M,MCF7,0.831,0.223,-0.756,4133
63,676,fursultiamine,9 ?M,MCF7,0.829,0.227,-0.749,7349
64,661,flucloxacillin,8 ?M,HL60,0.827,0.15,-0.824,3128
65,616,tamoxifen,7 ?M,PC3,0.827,0.503,-0.47,2050
66,649,merbromin,5 ?M,HL60,0.827,0.111,-0.862,2577
67,705,vancomycin,3 ?M,MCF7,0.826,0.316,-0.656,4423
68,646,chlortalidone,12 ?M,MCF7,0.826,0.243,-0.729,3198
69,733,sulfamonomethoxine,14 ?M,PC3,0.825,0.156,-0.815,5843
70,603,wortmannin,10 nM,PC3,0.822,0.329,-0.639,1243
71,633,guanabenz,14 ?M,MCF7,0.82,0.321,-0.645,1544
72,1093,16-phenyltetranorprostaglandin E2,10 ?M,PC3,0.82,0.272,-0.694,7546
73,602,fluphenazine,10 ?M,HL60,0.819,0.271,-0.693,1178
74,728,clofilium tosylate,8 ?M,PC3,0.818,0.227,-0.736,4492
75,736,10-methoxyharmalan,19 ?M,MCF7,0.818,0.347,-0.616,5455
76,707,maprotiline,13 ?M,MCF7,0.818,0.275,-0.688,5022
77,767,sirolimus,100 nM,MCF7,0.818,0.211,-0.752,6958
78,673,thioperamide,10 ?M,MCF7,0.817,0.32,-0.642,3392
79,618,fludrocortisone,9 ?M,HL60,0.816,0.215,-0.746,2368
80,663,benzocaine,24 ?M,MCF7,0.816,0.143,-0.817,2822
81,505,5149715,10 ?M,MCF7,0.815,0.213,-0.746,890
82,767,wortmannin,10 nM,MCF7,0.815,0.271,-0.687,6959
83,616,nalbuphine,10 ?M,PC3,0.814,0.28,-0.678,2063
84,685,nefopam,14 ?M,MCF7,0.814,0.313,-0.645,3627
85,729,profenamine,11 ?M,MCF7,0.813,0.23,-0.728,5296
86,610,trimethobenzamide,9 ?M,PC3,0.811,0.228,-0.727,1920
87,691,solanine,5 ?M,MCF7,0.811,0.22,-0.735,4166
88,677,risperidone,10 ?M,MCF7,0.809,0.204,-0.748,3508
89,688,benzathine benzylpenicillin,4 ?M,PC3,0.808,0.198,-0.754,4022
90,663,co-dergocrine mesilate,6 ?M,MCF7,0.808,0.234,-0.718,2793
91,1094,BCB000040,10 ?M,MCF7,0.806,0.142,-0.806,7554
92,761,mesoridazine,7 ?M,PC3,0.805,0.322,-0.626,7256
93,757,genistein,10 ?M,MCF7,0.801,0.165,-0.778,5595
94,505,clotrimazole,50 ?M,MCF7,0.801,0.337,-0.605,905
95,504,ikarugamycin,2 ?M,MCF7,0.799,0.194,-0.746,866
96,630,clozapine,12 ?M,HL60,0.798,0.172,-0.768,1289
97,513,haloperidol,10 ?M,MCF7,0.798,0.199,-0.741,1082
98,737,perhexiline,10 ?M,MCF7,0.798,0.316,-0.623,5501
99,680,0173570-0000,10 ?M,PC3,0.797,0.183,-0.756,3690
100,700,karakoline,11 ?M,MCF7,0.797,0.371,-0.567,4763
101,767,estradiol,10 nM,MCF7,0.795,0.117,-0.819,6957
102,633,josamycin,5 ?M,MCF7,0.795,0.208,-0.727,1534
103,712,crotamiton,20 ?M,PC3,0.793,0.325,-0.608,4628
104,750,sirolimus,100 nM,HL60,0.792,0.221,-0.711,6167
105,706,methoxamine,16 ?M,MCF7,0.791,0.289,-0.643,4972
106,642,vincamine,11 ?M,MCF7,0.791,0.276,-0.655,2327
107,603,sirolimus,100 nM,PC3,0.791,0.403,-0.529,1207
108,505,wortmannin,10 nM,MCF7,0.79,0.18,-0.751,911
109,711,fludrocortisone,9 ?M,MCF7,0.79,0.379,-0.551,3977
110,610,miconazole,10 ?M,PC3,0.79,0.266,-0.664,1896
111,734,gentamicin,3 ?M,PC3,0.79,0.122,-0.809,5883
112,746,papaverine,11 ?M,MCF7,0.79,0.351,-0.579,6245
113,636,midodrine,14 ?M,MCF7,0.79,0.317,-0.613,2250
114,751,lycorine,12 ?M,MCF7,0.79,0.257,-0.673,6051
115,737,lobelanidine,11 ?M,MCF7,0.789,0.181,-0.748,5500
116,617,pentoxifylline,14 ?M,PC3,0.788,0.14,-0.788,2127
117,680,metaraminol,9 ?M,PC3,0.788,0.2,-0.728,3669
118,626,LY-294002,10 ?M,MCF7,0.788,0.321,-0.607,1664
119,757,trifluoperazine,10 ?M,MCF7,0.788,0.334,-0.594,5584
120,744,stachydrine,22 ?M,MCF7,0.787,0.344,-0.583,6805
121,603,LY-294002,10 ?M,PC3,0.787,0.386,-0.541,1236
122,602,estradiol,10 nM,HL60,0.787,0.126,-0.801,1182
123,735,amphotericin B,4 ?M,MCF7,0.787,0.322,-0.604,5404
124,755,etynodiol,10 ?M,MCF7,0.786,0.222,-0.703,6479
125,749,saquinavir,5 ?M,HL60,0.785,0.276,-0.648,6127
126,505,topiramate,3 ?M,MCF7,0.785,0.153,-0.771,915
127,699,isocarboxazid,17 ?M,MCF7,0.784,0.201,-0.723,4706
128,761,glafenine,10 ?M,PC3,0.783,0.29,-0.632,7257
129,655,ceforanide,8 ?M,MCF7,0.783,0.208,-0.714,3309
130,95,resveratrol,50 ?M,MCF7,0.783,0.301,-0.621,595
131,729,fluvastatin,9 ?M,MCF7,0.783,0.282,-0.639,5290
132,647,clofazimine,8 ?M,MCF7,0.782,0.244,-0.677,3239
133,737,gemfibrozil,16 ?M,MCF7,0.781,0.198,-0.721,5488
134,618,griseofulvin,11 ?M,HL60,0.781,0.237,-0.682,2332
135,70,valproic acid,1 mM,ssMCF7,0.78,0.166,-0.751,497
136,60,diclofenac,10 ?M,PC3,0.779,0.311,-0.606,445
137,504,5253409,17 ?M,MCF7,0.778,0.093,-0.823,844
138,504,5182598,25 ?M,MCF7,0.778,0.278,-0.638,868
139,646,fendiline,11 ?M,MCF7,0.777,0.304,-0.611,3190
140,627,dapsone,16 ?M,MCF7,0.777,0.352,-0.563,1705
141,505,trifluoperazine,10 ?M,MCF7,0.777,0.336,-0.578,910
142,707,metixene,12 ?M,MCF7,0.776,0.343,-0.57,5018
143,767,LY-294002,10 ?M,MCF7,0.776,0.242,-0.671,6956
144,720,paroxetine,1 ?M,MCF7,0.776,0.141,-0.772,4378
145,616,nomifensine,11 ?M,PC3,0.776,0.407,-0.506,2062
146,744,estropipate,9 ?M,MCF7,0.775,0.172,-0.741,6808
147,1055,NS-398,10 ?M,MCF7,0.775,0.263,-0.65,6897
148,691,amylocaine,15 ?M,MCF7,0.775,0.13,-0.783,4169
149,733,terazosin,9 ?M,PC3,0.775,0.189,-0.723,5831
150,757,wortmannin,10 nM,MCF7,0.774,0.299,-0.612,5603
151,711,0317956-0000,1 ?M,MCF7,0.773,0.181,-0.729,3969
152,681,etiocholanolone,14 ?M,PC3,0.773,0.152,-0.758,3742
153,725,trifluoperazine,10 ?M,MCF7,0.773,0.34,-0.57,5221
154,749,ondansetron,12 ?M,HL60,0.773,0.128,-0.782,6153
155,750,geldanamycin,1 ?M,HL60,0.772,0.22,-0.689,6187
156,715,pipemidic acid,13 ?M,PC3,0.77,0.287,-0.619,6752
157,616,astemizole,9 ?M,PC3,0.769,0.469,-0.436,2049
158,761,hydroflumethiazide,12 ?M,PC3,0.768,0.213,-0.691,7259
159,628,thiamphenicol,11 ?M,PC3,0.768,0.263,-0.641,1826
160,689,Prestwick-691,14 ?M,PC3,0.768,0.159,-0.744,4092
161,771,bumetanide,11 ?M,MCF7,0.767,0.217,-0.686,7440
162,681,0179445-0000,10 ?M,PC3,0.767,0.276,-0.627,3733
163,1051,BAS-012416453,38 ?M,MCF7,0.767,0.222,-0.681,6880
164,659,hymecromone,23 ?M,HL60,0.767,0.196,-0.707,3045
165,641,isocorydine,12 ?M,HL60,0.767,0.166,-0.737,1787
166,658,tolmetin,13 ?M,HL60,0.767,0.199,-0.704,3009
167,689,gelsemine,12 ?M,PC3,0.767,0.196,-0.707,4097
168,690,memantine,19 ?M,MCF7,0.767,0.251,-0.651,4135
169,633,azacyclonol,15 ?M,MCF7,0.766,0.203,-0.699,1520
170,630,clomifene,7 ?M,HL60,0.766,0.295,-0.607,1269
171,617,nifenazone,13 ?M,PC3,0.766,0.202,-0.7,2122
172,758,biperiden,11 ?M,MCF7,0.765,0.179,-0.722,5644
173,614,mefloquine,10 ?M,HL60,0.765,0.261,-0.64,1364
174,633,cyproheptadine,12 ?M,MCF7,0.765,0.234,-0.666,1521
175,653,benfluorex,10 ?M,MCF7,0.764,0.428,-0.472,2621
176,610,captopril,17 ?M,PC3,0.764,0.247,-0.652,1907
177,610,levodopa,20 ?M,PC3,0.763,0.287,-0.611,1892
178,720,thiamazole,35 ?M,MCF7,0.763,0.371,-0.528,4372
179,632,trimethobenzamide,9 ?M,MCF7,0.763,0.218,-0.68,1502
180,628,metrifonate,16 ?M,PC3,0.762,0.327,-0.571,1797
181,765,LY-294002,10 ?M,MCF7,0.762,0.416,-0.48,6998
182,754,raubasine,10 ?M,PC3,0.761,0.121,-0.775,6360
183,702,fluocinonide,8 ?M,PC3,0.761,0.175,-0.721,4314
184,602,fulvestrant,10 nM,HL60,0.76,0.167,-0.727,1179
185,616,tetracycline,8 ?M,PC3,0.76,0.176,-0.719,2080
186,628,chloramphenicol,12 ?M,PC3,0.759,0.399,-0.494,1795
187,676,tracazolate,12 ?M,MCF7,0.759,0.281,-0.612,7339
188,729,diclofenamide,13 ?M,MCF7,0.759,0.177,-0.716,5286
189,648,butamben,21 ?M,HL60,0.758,0.243,-0.65,2531
190,725,LY-294002,10 ?M,MCF7,0.758,0.271,-0.622,5236
191,687,CP-320650-01,10 ?M,MCF7,0.757,0.257,-0.634,3905
192,757,clozapine,10 ?M,MCF7,0.757,0.232,-0.66,5589
193,758,butyl hydroxybenzoate,21 ?M,MCF7,0.757,0.331,-0.561,5608
194,746,lobeline,11 ?M,MCF7,0.757,0.159,-0.732,6258
195,711,flecainide,8 ?M,MCF7,0.757,0.188,-0.703,3937
196,677,penbutolol,6 ?M,MCF7,0.756,0.233,-0.657,3534
197,736,iopanoic acid,7 ?M,MCF7,0.756,0.233,-0.656,5448
198,680,griseofulvin,11 ?M,PC3,0.755,0.148,-0.742,3664
199,737,mafenide,18 ?M,MCF7,0.755,0.257,-0.632,5499
200,688,brompheniramine,9 ?M,PC3,0.755,0.174,-0.714,4013
201,702,methylbenzethonium chloride,9 ?M,PC3,0.754,0.228,-0.66,4325
202,632,minoxidil,19 ?M,MCF7,0.754,0.278,-0.61,1496
203,655,fluoxetine,12 ?M,MCF7,0.753,0.195,-0.692,3314
204,752,metoprolol,6 ?M,MCF7,0.753,0.21,-0.676,6106
205,720,citalopram,1 ?M,MCF7,0.753,0.21,-0.676,4377
206,691,ticlopidine,13 ?M,MCF7,0.753,0.306,-0.58,4155
207,670,levomepromazine,9 ?M,MCF7,0.753,0.207,-0.679,3440
208,504,quinostatin,10 ?M,MCF7,0.752,0.288,-0.597,865
209,616,naltrexone,10 ?M,PC3,0.751,0.285,-0.599,2047
210,705,captopril,17 ?M,MCF7,0.751,0.239,-0.645,4410
211,712,eticlopride,11 ?M,PC3,0.751,0.221,-0.663,4634
212,727,trifluoperazine,10 ?M,PC3,0.75,0.251,-0.632,4448
213,743,pimozide,9 ?M,MCF7,0.75,0.324,-0.56,6780
214,655,progesterone,13 ?M,MCF7,0.75,0.225,-0.658,3287
215,725,wortmannin,10 nM,MCF7,0.75,0.193,-0.689,5240
216,1087,"11-deoxy-16,16-dimethylprostaglandin E2",10 ?M,PC3,0.75,0.286,-0.597,7519
217,685,etiocholanolone,14 ?M,MCF7,0.749,0.331,-0.551,3639
218,693,succinylsulfathiazole,11 ?M,PC3,0.749,0.287,-0.595,4265
219,1038,"16,16-dimethylprostaglandin E2",10 ?M,PC3,0.749,0.356,-0.526,6562
220,505,decitabine,100 nM,MCF7,0.748,0.218,-0.663,920
221,655,methoxsalen,19 ?M,MCF7,0.748,0.137,-0.743,3302
222,699,atractyloside,5 ?M,MCF7,0.747,0.249,-0.631,4717
223,636,dihydroergotamine,3 ?M,MCF7,0.747,0.338,-0.541,2244
224,688,oxamniquine,14 ?M,PC3,0.747,0.278,-0.601,4006
225,502,5182598,25 ?M,MCF7,0.746,0.321,-0.558,976
226,645,betonicine,25 ?M,HL60,0.746,0.318,-0.56,2207
227,627,chlorpromazine,11 ?M,MCF7,0.746,0.301,-0.577,1700
228,619,acemetacin,10 ?M,HL60,0.745,0.166,-0.712,2411
229,691,decamethonium bromide,10 ?M,MCF7,0.745,0.241,-0.635,4174
230,691,carteolol,12 ?M,MCF7,0.744,0.237,-0.639,4176
231,750,nordihydroguaiaretic acid,1 ?M,HL60,0.744,0.219,-0.657,6182
232,653,anisomycin,15 ?M,MCF7,0.744,0.2,-0.675,2658
233,660,dexibuprofen,19 ?M,HL60,0.743,0.139,-0.735,3094
234,63,copper sulfate,100 ?M,PC3,0.743,0.383,-0.491,459
235,682,ethoxyquin,18 ?M,PC3,0.742,0.358,-0.516,3764
236,636,tranexamic acid,25 ?M,MCF7,0.742,0.236,-0.638,2248
237,627,diprophylline,16 ?M,MCF7,0.742,0.24,-0.633,1689
238,677,levopropoxyphene,7 ?M,MCF7,0.742,0.198,-0.675,3543
239,655,pilocarpine,15 ?M,MCF7,0.741,0.137,-0.736,3300
240,647,hemicholinium,7 ?M,MCF7,0.741,0.259,-0.614,3216
241,706,fursultiamine,9 ?M,MCF7,0.741,0.312,-0.561,4975
242,725,tanespimycin,1 ?M,MCF7,0.741,0.243,-0.629,5223
243,1083,suramin sodium,10 ?M,PC3,0.741,0.196,-0.676,7501
244,612,tolnaftate,13 ?M,HL60,0.741,0.218,-0.654,2001
245,728,labetalol,11 ?M,PC3,0.74,0.199,-0.672,4473
246,720,diethylstilbestrol,15 ?M,MCF7,0.739,0.194,-0.675,4369
247,612,tolazoline,20 ?M,HL60,0.739,0.253,-0.616,2000
248,725,prochlorperazine,10 ?M,MCF7,0.738,0.321,-0.548,5212
249,729,propofol,22 ?M,MCF7,0.738,0.391,-0.478,5306
250,614,midodrine,14 ?M,HL60,0.738,0.202,-0.667,1403
251,737,harmalol,15 ?M,MCF7,0.737,0.347,-0.521,5495
252,662,racecadotril,10 ?M,MCF7,0.737,0.172,-0.696,2774
253,70,copper sulfate,100 ?M,ssMCF7,0.736,0.12,-0.747,500
254,729,puromycin,7 ?M,MCF7,0.736,0.286,-0.581,5310
255,662,epivincamine,11 ?M,MCF7,0.736,0.173,-0.694,2775
256,694,mebhydrolin,5 ?M,MCF7,0.736,0.321,-0.546,4795
257,741,lansoprazole,11 ?M,MCF7,0.736,0.307,-0.559,6009
258,650,fluphenazine,10 ?M,HL60,0.735,0.211,-0.654,2697
259,752,pheneticillin,10 ?M,MCF7,0.735,0.263,-0.602,6105
260,688,sulmazole,14 ?M,PC3,0.735,0.253,-0.613,4009
261,754,naproxen,17 ?M,PC3,0.735,0.21,-0.655,6358
262,728,clomipramine,11 ?M,PC3,0.734,0.368,-0.496,4487
263,647,clenbuterol,13 ?M,MCF7,0.734,0.381,-0.483,3228
264,767,sirolimus,100 nM,MCF7,0.734,0.384,-0.48,6940
265,46,clozapine,10 ?M,MCF7,0.733,0.297,-0.567,416
266,725,rosiglitazone,10 ?M,MCF7,0.733,0.213,-0.65,5230
267,736,flavoxate,9 ?M,MCF7,0.733,0.227,-0.637,5427
268,708,guanabenz,14 ?M,MCF7,0.733,0.167,-0.696,5703
269,753,methotrexate,9 ?M,PC3,0.733,0.253,-0.61,6318
270,745,chloropyrazine,35 ?M,MCF7,0.733,0.275,-0.588,6227
271,664,gabexate,10 ?M,HL60,0.732,0.265,-0.597,2937
272,650,15-delta prostaglandin J2,10 ?M,HL60,0.732,0.253,-0.609,2691
273,744,labetalol,11 ?M,MCF7,0.732,0.258,-0.603,6809
274,756,isometheptene,8 ?M,MCF7,0.732,0.188,-0.674,6524
275,636,ursolic acid,9 ?M,MCF7,0.732,0.367,-0.494,2230
276,725,sirolimus,100 nM,MCF7,0.731,0.19,-0.671,5239
277,699,levomepromazine,9 ?M,MCF7,0.731,0.237,-0.624,4723
278,730,cefotiam,7 ?M,MCF7,0.73,0.26,-0.599,5361
279,726,thioperamide,10 ?M,MCF7,0.73,0.206,-0.653,5270
280,614,picotamide,10 ?M,HL60,0.729,0.279,-0.58,1387
281,715,ioversol,5 ?M,PC3,0.729,0.255,-0.604,6726
282,702,eucatropine,12 ?M,PC3,0.729,0.215,-0.643,4316
283,647,maprotiline,13 ?M,MCF7,0.729,0.231,-0.627,3236
284,616,aminophenazone,17 ?M,PC3,0.728,0.201,-0.656,2060
285,513,LY-294002,10 ?M,MCF7,0.728,0.301,-0.556,1074
286,683,ciclacillin,12 ?M,PC3,0.728,0.377,-0.48,3800
287,676,fluvoxamine,9 ?M,MCF7,0.727,0.254,-0.602,7333
288,654,cefixime,9 ?M,MCF7,0.727,0.306,-0.549,3247
289,618,trimethoprim,14 ?M,HL60,0.726,0.247,-0.608,2345
290,689,levothyroxine sodium,5 ?M,PC3,0.726,0.276,-0.58,4069
291,727,alpha-estradiol,10 nM,PC3,0.726,0.403,-0.452,4434
292,756,esculetin,22 ?M,MCF7,0.726,0.289,-0.566,6499
293,647,metergoline,10 ?M,MCF7,0.726,0.25,-0.604,3221
294,700,diphenylpyraline,13 ?M,MCF7,0.726,0.209,-0.645,4765
295,687,diethylstilbestrol,15 ?M,MCF7,0.726,0.397,-0.457,3895
296,641,racecadotril,10 ?M,HL60,0.725,0.267,-0.587,1782
297,699,0173570-0000,10 ?M,MCF7,0.725,0.262,-0.592,4712
298,706,methyldopate,15 ?M,MCF7,0.725,0.121,-0.733,4986
299,677,Prestwick-1083,9 ?M,MCF7,0.725,0.217,-0.636,3538
300,633,danazol,12 ?M,MCF7,0.724,0.162,-0.691,1538
301,683,alpha-ergocryptine,7 ?M,PC3,0.724,0.324,-0.529,3817
302,737,Prestwick-920,14 ?M,MCF7,0.724,0.249,-0.603,5475
303,685,cloperastine,11 ?M,MCF7,0.724,0.306,-0.546,3608
304,632,idoxuridine,11 ?M,MCF7,0.724,0.214,-0.638,1480
305,707,prochlorperazine,7 ?M,MCF7,0.723,0.292,-0.56,5010
306,603,sirolimus,100 nM,PC3,0.723,0.274,-0.577,1242
307,662,stachydrine,22 ?M,MCF7,0.723,0.216,-0.635,2743
308,642,fenbufen,16 ?M,MCF7,0.723,0.175,-0.677,2308
309,753,hexetidine,12 ?M,PC3,0.723,0.216,-0.635,6319
310,633,amoxapine,13 ?M,MCF7,0.722,0.283,-0.567,1513
311,634,pirenperone,10 ?M,HL60,0.722,0.3,-0.55,2455
312,671,butacaine,13 ?M,MCF7,0.721,0.34,-0.509,3469
313,1038,STOCK1N-35696,15 ?M,PC3,0.72,0.217,-0.631,6564
314,744,kinetin,19 ?M,MCF7,0.72,0.243,-0.605,6813
315,746,butamben,21 ?M,MCF7,0.72,0.19,-0.658,6266
316,678,kaempferol,14 ?M,MCF7,0.72,0.185,-0.662,3579
317,692,sulfathiazole,16 ?M,PC3,0.719,0.359,-0.488,4183
318,618,phenformin,17 ?M,HL60,0.718,0.32,-0.525,2350
319,761,alfadolone,10 ?M,PC3,0.718,0.216,-0.629,7262
320,616,clindamycin,9 ?M,PC3,0.717,0.335,-0.509,2057
321,735,dinoprost,8 ?M,MCF7,0.717,0.234,-0.61,5409
322,701,karakoline,11 ?M,PC3,0.717,0.361,-0.483,4297
323,647,adenosine phosphate,11 ?M,MCF7,0.717,0.251,-0.592,3237
324,746,skimmianine,15 ?M,MCF7,0.716,0.312,-0.531,6242
325,656,nifuroxazide,15 ?M,MCF7,0.715,0.266,-0.575,2850
326,686,acacetin,14 ?M,MCF7,0.715,0.215,-0.627,3849
327,112,W-13,10 ?M,MCF7,0.714,0.092,-0.748,643
328,733,Prestwick-689,10 ?M,PC3,0.714,0.236,-0.605,5816
329,630,estradiol,15 ?M,HL60,0.714,0.193,-0.647,1299
330,744,amrinone,21 ?M,MCF7,0.714,0.284,-0.556,6826
331,645,isosorbide,17 ?M,HL60,0.713,0.267,-0.572,2183
332,741,moracizine,9 ?M,MCF7,0.712,0.29,-0.549,6000
333,715,oxantel,7 ?M,PC3,0.712,0.262,-0.577,6738
334,661,enilconazole,13 ?M,HL60,0.712,0.209,-0.629,3139
335,95,geldanamycin,1 ?M,MCF7,0.712,0.225,-0.613,593
336,748,acenocoumarol,11 ?M,MCF7,0.712,0.156,-0.682,7232
337,752,propidium iodide,6 ?M,MCF7,0.712,0.177,-0.661,6104
338,513,estradiol,10 nM,MCF7,0.711,0.224,-0.614,1079
339,707,dicloxacillin,8 ?M,MCF7,0.711,0.199,-0.638,5012
340,506,estradiol,10 nM,MCF7,0.711,0.197,-0.641,1021
341,613,naloxone,11 ?M,HL60,0.711,0.249,-0.588,2006
342,626,tanespimycin,1 ?M,MCF7,0.711,0.252,-0.584,1650
343,761,chloroquine,8 ?M,PC3,0.709,0.363,-0.473,7251
344,693,gibberellic acid,12 ?M,PC3,0.709,0.244,-0.591,4234
345,21,genistein,1 ?M,MCF7,0.709,0.306,-0.529,268
346,681,ketoprofen,16 ?M,PC3,0.708,0.26,-0.574,3729
347,689,furazolidone,18 ?M,PC3,0.708,0.18,-0.654,4098
348,627,diphenhydramine,14 ?M,MCF7,0.708,0.332,-0.501,1708
349,707,colecalciferol,10 ?M,MCF7,0.708,0.324,-0.509,5002
350,766,thiamphenicol,11 ?M,MCF7,0.708,0.248,-0.585,7033
351,699,Prestwick-665,12 ?M,MCF7,0.708,0.259,-0.574,4704
352,748,alimemazine,5 ?M,MCF7,0.708,0.351,-0.482,7235
353,743,ribostamycin,7 ?M,MCF7,0.707,0.142,-0.691,6765
354,692,propantheline bromide,9 ?M,PC3,0.707,0.296,-0.537,4214
355,710,hydroxyzine,9 ?M,PC3,0.707,0.327,-0.505,6660
356,1093,semustine,100 ?M,PC3,0.706,0.132,-0.698,7545
357,655,naringin,7 ?M,MCF7,0.706,0.158,-0.673,3286
358,613,edrophonium chloride,20 ?M,HL60,0.705,0.223,-0.608,2019
359,700,0179445-0000,1 ?M,MCF7,0.705,0.253,-0.576,4758
360,694,scopolamine,12 ?M,MCF7,0.704,0.313,-0.517,4803
361,686,flunisolide,9 ?M,MCF7,0.704,0.273,-0.556,3828
362,725,estradiol,100 nM,MCF7,0.704,0.248,-0.581,5205
363,754,Prestwick-1083,9 ?M,PC3,0.704,0.249,-0.58,6357
364,686,promazine,12 ?M,MCF7,0.704,0.295,-0.533,3833
365,761,Prestwick-1082,12 ?M,PC3,0.703,0.229,-0.6,7267
366,505,5109870,25 ?M,MCF7,0.703,0.237,-0.591,904
367,656,quercetin,12 ?M,MCF7,0.703,0.399,-0.428,2859
368,632,isoxsuprine,12 ?M,MCF7,0.703,0.383,-0.444,1485
369,715,caffeic acid,22 ?M,PC3,0.702,0.254,-0.573,6753
370,618,nitrofurantoin,17 ?M,HL60,0.702,0.295,-0.532,2341
371,741,lincomycin,9 ?M,MCF7,0.702,0.304,-0.522,5992
372,630,fusidic acid,7 ?M,HL60,0.701,0.175,-0.65,1293
373,713,equilin,15 ?M,PC3,0.701,0.333,-0.492,4659
374,734,quipazine,9 ?M,PC3,0.7,0.208,-0.616,5887
375,702,promazine,12 ?M,PC3,0.7,0.346,-0.477,4308
